"","Spec.id","Species","Family","Sex","size.min","size.max","coefficient","size"
"160","Spec.id_160","Pardosa ssp","lycosidae","subfemale",5.43333333333333,6.55,0.75,4.49375
"161","Spec.id_161","Pardosa ssp","lycosidae","juvenile",5.07407407407407,5.78333333333333,0.5,2.71435185185185
"162","Spec.id_162","Pelecopsis radicicola","linyphiidae","male",1.3,1.4,1,1.35
"163","Spec.id_163","Pelecopsis radicicola","linyphiidae","female",1.5,1.7,1,1.6
"164","Spec.id_164","Philodromus margaritatus","philodromidae","male",5,7,1,6
"165","Spec.id_165","Philodromus ssp","philodromidae","juvenile",5,7,0.5,3
"166","Spec.id_166","Phlegra fasciata","salticidae","male",4.3,7.4,1,5.85
"167","Spec.id_167","Phlegra fasciata","salticidae","female",5.3,7.6,1,6.45
"168","Spec.id_168","Phrurolithus festivus","phrurolithidae","male",2.2,2.9,1,2.55
"169","Spec.id_169","Phrurolithus festivus","phrurolithidae","female",2.4,3.2,1,2.8
"170","Spec.id_170","Phrurolithus festivus","phrurolithidae","submale",2.2,2.9,0.75,1.9125
"171","Spec.id_171","Pirata piscatorius","lycosidae","male",8.4,8.6,1,8.5
"172","Spec.id_172","Pirata piscatorius","lycosidae","submale",8.4,8.6,0.75,6.375
"173","Spec.id_173","Pirata tenuitarsis","lycosidae","male",4,6,1,5
"174","Spec.id_174","Pirata uliginosa","lycosidae","male",4,5,1,4.5
"175","Spec.id_175","Pirata ssp","lycosidae","juvenile",5.54285714285714,6.41428571428572,0.5,2.98928571428571
"176","Spec.id_176","Piratula hygrophila","lycosidae","male",4.5,5.5,1,5
"177","Spec.id_177","Piratula hygrophila","lycosidae","female",5,5.7,1,5.35
"178","Spec.id_178","Piratula hygrophila","lycosidae","submale",4.5,5.5,0.75,3.75
"179","Spec.id_179","Pisaura mirabilis","Pisauridae","male",10,13,1,11.5
"180","Spec.id_180","Pocadicnemis pumilla","linyphiidae","male",1.8,2,1,1.9
"181","Spec.id_181","Robertus lividus","theridiidae","male",2.5,4,1,3.25
"182","Spec.id_182","Sauron rayi","linyphiidae","male",1.5,1.5,1,1.5
"183","Spec.id_183","Sitticus terebratus","salticidae","male",4,6,1,5
"184","Spec.id_184","Sitticus sp229","salticidae","male",3,4,1,3.5
"185","Spec.id_185","Sitticus sp282","salticidae","male",3,4,1,3.5
"186","Spec.id_186","Sitticus ssp","salticidae","juvenile",3,4,0.5,1.75
"187","Spec.id_187","Steatoda albomaculata","theridiidae","male",3.3,5.8,1,4.55
"188","Spec.id_188","Stemonyphantes lineatus","linyphiidae","male",4,4,1,4
"189","Spec.id_189","Tallusia experta","linyphiidae","male",2.5,3.3,1,2.9
"190","Spec.id_190","Tallusia experta","linyphiidae","female",3.5,4,1,3.75
"191","Spec.id_191","Tapinocyba biscissa","linyphiidae","male",1.5,1.5,1,1.5
"192","Spec.id_192","Tapinocyba insecta","linyphiidae","male",1.5,1.8,1,1.65
"193","Spec.id_193","Tapinocyba pallens","linyphiidae","male",1.5,1.7,1,1.6
"194","Spec.id_194","Tenuiphantes tenebricola","linyphiidae","male",2.1,2.8,1,2.45
"195","Spec.id_195","Thanatus formicinus","philodromidae","male",5.2,7.4,1,6.3
"196","Spec.id_196","Thanatus sabulosus","philodromidae","male",3,3.9,1,3.45
"197","Spec.id_197","Thanatus sabulosus","philodromidae","female",4.2,5.3,1,4.75
"198","Spec.id_198","Thanatus striatus","philodromidae","male",3,4.2,1,3.6
"199","Spec.id_199","Thanatus ssp","philodromidae","juvenile",3.85,5.2,0.5,2.2625
"200","Spec.id_200","Thyreostenius biovatus","linyphiidae","female",1.8,2.2,1,2
"201","Spec.id_201","Titanoeca spominima","titanoecidae","male",2.9,4.6,1,3.75
"202","Spec.id_202","Titanoeca spominima","titanoecidae","submale",2.9,4.6,0.75,2.8125
"203","Spec.id_203","Tmarus piger","thomisidae","male",4,4,1,4
"204","Spec.id_204","Tmarus piger","thomisidae","female",5.9,6,1,5.95
"205","Spec.id_205","Tricca lutetiana","lycosidae","male",9,9,1,9
"206","Spec.id_206","Lasiargus hirsutus","linyphiidae","female",2.6,3,1,2.8
"207","Spec.id_207","Trochosa ruricola","lycosidae","female",8,14,1,11
"208","Spec.id_208","Trochosa spinipalpis","lycosidae","male",6,8,1,7
"209","Spec.id_209","Trochosa terricola","lycosidae","male",7,9,1,8
"210","Spec.id_210","Trochosa terricola","lycosidae","female",7,14,1,10.5
"211","Spec.id_211","Trochosa ssp","lycosidae","submale",6.5,8.5,0.75,5.625
"212","Spec.id_212","Trochosa ssp","lycosidae","subfemale",7.5,14,0.75,8.0625
"213","Spec.id_213","Trochosa ssp","lycosidae","juvenile",7,11.25,0.5,4.5625
"214","Spec.id_214","Troxochrota scabra","linyphiidae","male",1.5,1.5,1,1.5
"215","Spec.id_215","Walckenaeria alticeps","linyphiidae","male",2,2.7,1,2.35
"216","Spec.id_216","Walckenaeria alticeps","linyphiidae","female",2,2.7,1,2.35
"217","Spec.id_217","Walckenaeria antica","linyphiidae","male",1.5,2.3,1,1.9
"218","Spec.id_218","Walckenaeria antica","linyphiidae","female",2,2.7,1,2.35
"219","Spec.id_219","Walckenaeria cucullata","linyphiidae","male",1.5,2.5,1,2
"220","Spec.id_220","Walckenaeria cucullata","linyphiidae","female",1.5,2.8,1,2.15
"221","Spec.id_221","Walckenaeria fugax","linyphiidae","male",1.7,2,1,1.85
"222","Spec.id_222","Walckenaeria fugax","linyphiidae","female",1.8,2.3,1,2.05
"223","Spec.id_223","Walckenaeria furcillata","linyphiidae","male",2.5,2.5,1,2.5
"224","Spec.id_224","Walckenaeria furcillata","linyphiidae","female",2.5,3,1,2.75
"225","Spec.id_225","Walckenaeria mitrata","linyphiidae","male",2,3,1,2.5
"226","Spec.id_226","Walckenaeria nudipalpis","linyphiidae","female",2.6,3.8,1,3.2
"227","Spec.id_227","Xerolycosa miniata","lycosidae","male",4.7,5.5,1,5.1
"228","Spec.id_228","Xerolycosa nemoralis","lycosidae","male",4.5,5.7,1,5.1
"229","Spec.id_229","Xerolycosa nemoralis","lycosidae","female",5,7.5,1,6.25
"230","Spec.id_230","Xerolycosa ssp","lycosidae","submale",4.6,5.6,0.75,3.825
"231","Spec.id_231","Xerolycosa ssp","lycosidae","subfemale",5,7.55,0.75,4.70625
"232","Spec.id_232","Xerolycosa ssp","lycosidae","juvenile",4.76,6.37,0.5,2.7825
"233","Spec.id_233","Xysticus cambridgei","thomisidae","male",3.7,6,1,4.85
"234","Spec.id_234","Xysticus cambridgei","thomisidae","female",4.7,9,1,6.85
"235","Spec.id_235","Xysticus cambridgei","thomisidae","submale",3.7,6,0.75,3.6375
"236","Spec.id_236","Xysticus cambridgei","thomisidae","subfemale",4.7,9,0.75,5.1375
"237","Spec.id_237","Xysticus cristatus","thomisidae","male",3.5,6.1,1,4.8
"238","Spec.id_238","Xysticus cristatus","thomisidae","female",4.7,8,1,6.35
"239","Spec.id_239","Xysticus lineatus","thomisidae","male",3.3,4.5,1,3.9
"240","Spec.id_240","Xysticus lineatus","thomisidae","female",4.5,7,1,5.75
"241","Spec.id_241","Xysticus luctuosus","thomisidae","male",4,5,1,4.5
"242","Spec.id_242","Xysticus luctuosus","thomisidae","female",5.5,8,1,6.75
"243","Spec.id_243","Xysticus ulmi","thomisidae","male",3,4,1,3.5
"244","Spec.id_244","Xysticus viduus","thomisidae","male",4.4,5.3,1,4.85
"245","Spec.id_245","Xysticus viduus","thomisidae","female",5.3,8.2,1,6.75
"246","Spec.id_246","Xysticus ssp","thomisidae","submale",3.65714285714286,5.27142857142857,0.75,3.34821428571429
"247","Spec.id_247","Xysticus ssp","thomisidae","subfemale",4.9,8.2,0.75,4.9125
"248","Spec.id_248","Xysticus ssp","thomisidae","juvenile",4.23714285714286,6.63809523809524,0.5,2.71880952380952
"249","Spec.id_249","Zelotes azsheganovae","gnaphosidae","male",4.9,4.9,1,4.9
"250","Spec.id_250","Zelotes azsheganovae","gnaphosidae","female",6,6,1,6
"251","Spec.id_251","Zelotes clivicola","gnaphosidae","male",4.6,6.1,1,5.35
"252","Spec.id_252","Zelotes clivicola","gnaphosidae","female",4.3,6.2,1,5.25
"253","Spec.id_253","Zelotes electus","gnaphosidae","male",3,5,1,4
"254","Spec.id_254","Zelotes electus","gnaphosidae","female",3.2,5.6,1,4.4
"255","Spec.id_255","Zelotes exiguus","gnaphosidae","male",2.5,3,1,2.75
"256","Spec.id_256","Zelotes latreillei","gnaphosidae","male",4.5,7.5,1,6
"257","Spec.id_257","Zelotes latreillei","gnaphosidae","female",5.3,9.5,1,7.4
"258","Spec.id_258","Zelotes longipes","gnaphosidae","male",4.4,6.2,1,5.3
"259","Spec.id_259","Zelotes longipes","gnaphosidae","female",4.5,8.3,1,6.4
"260","Spec.id_260","Zelotes petrensis","gnaphosidae","male",4.5,6.5,1,5.5
"261","Spec.id_261","Zelotes petrensis","gnaphosidae","female",3.5,8.5,1,6
"262","Spec.id_262","Zelotes subterraneus","gnaphosidae","male",3.8,7.8,1,5.8
"263","Spec.id_263","Zelotes subterraneus","gnaphosidae","female",5.8,9.2,1,7.5
"264","Spec.id_264","Zelotes ssp","gnaphosidae","submale",4.025,5.875,0.75,3.7125
"265","Spec.id_265","Zelotes ssp","gnaphosidae","subfemale",4.43333333333333,7.88333333333333,0.75,4.61875
"266","Spec.id_266","Zelotes ssp","gnaphosidae","juvenile",4.3093137254902,6.7093137254902,0.5,2.7546568627451
"267","Spec.id_267","Zora nemoralis","miturgidae ","male",3,4,1,3.5
"268","Spec.id_268","Zora nemoralis","miturgidae ","submale",3.5,5.9,0.75,3.525
"269","Spec.id_269","Zora ?pardalis","miturgidae ","subfemale",4,5.3,0.75,3.4875
"270","Spec.id_270","Zora spinimana","miturgidae ","male",4.5,5,1,4.75
"271","Spec.id_271","Zora spinimana","miturgidae ","female",5,7.7,1,6.35
