"","Acantholycosa lignaria","Agroeca brunnea","Agroeca cuprea","Agroeca lusatica","Alopecosa aculeata","Alopecosa cuneata","Alopecosa fabrilis","Alopecosa inquilina","Alopecosa pinetorum","Alopecosa pulverulenta","Alopecosa solitaria","Alopecosa sulzeri","Antistea elegans","Arctosa leopardus","Argenna subnigra","Aulonia albimana","Callilepis nocturna","Cercidia prominens","Dolomedes fimbriatus","Drassodes pubescens","Drassyllus lutetianus","Drassyllus praeficus","Drassyllus pusillus","Euryopis flavomaculata","Gnaphosa bicolor","Gnaphosa montana","Hahnia ononidum","Hahnia pusilla","Hahnia ssp266","Haplodrassus cognatus","Haplodrassus signifer","Haplodrassus silvestris","Haplodrassus soerenseni","Haplodrassus umbratilis","Hygrolycosa rubrofasciata","Liocranoeca striata","Micaria fulgens","Micaria pulicaria","Micaria silesiaca","Ozyptila atomaria","Ozyptila praticola","Pachygnatha degeeri","Pachygnatha listeri","Pardosa agrestis","Pardosa alacris","Pardosa fulvipes","Pardosa lugubris","Pardosa maisa","Pardosa riparia","Pardosa paludicola","Pardosa sphagnicola","Phrurolithus festivus","Pirata piscatorius","Pirata tenuitarsis","Pirata uliginosa","Piratula hygrophila","Robertus lividus","Steatoda albomaculata","Stemonyphantes lineatus","Thanatus formicinus","Thanatus sabulosus","Thanatus striatus","Titanoeca spominima","Tricca lutetiana","Trochosa ruricola","Trochosa spinipalpis","Trochosa terricola","Xerolycosa miniata","Xerolycosa nemoralis","Xysticus cambridgei","Xysticus cristatus","Xysticus lineatus","Xysticus luctuosus","Xysticus ulmi","Xysticus viduus","Zelotes azsheganovae","Zelotes clivicola","Zelotes electus","Zelotes exiguus","Zelotes latreillei","Zelotes longipes","Zelotes petrensis","Zelotes subterraneus","Zora nemoralis","Zora ?pardalis","Zora spinimana"
"sample_id 11",0,0,0,0,2.2,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0.153846153846154,0,1.1,0.153846153846154,0,0,0,0.153846153846154,0.4,0,0.5,0.153846153846154,0,0,0,0,0,0.2,0,0,0,0,7.1,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0,1.8,0,0.769230769230769,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0
"sample_id 12",0.384615384615385,0,0,0,0.8,0.2,0,0,0,3.1,0,0.384615384615385,0,0,0,0,0.192307692307692,0.192307692307692,0,0,0,0.384615384615385,0.576923076923077,0,2.1,0,0.192307692307692,0,0,0,1.15384615384615,0,0,2.5,0,0,0,0,0,0,0,0,0,0,20.8,0,0.769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0.384615384615385,0.384615384615385,0,0,0,0,0,3.3,0.192307692307692,12.7,0.192307692307692,0,0,0,0,0,0.4,0,0,0,0,0.192307692307692,0,0.4,0,0,0
"sample_id 13",0.4,0.425531914893617,0,0,3.4,0.425531914893617,0,0,0,1.3,0,0.6,0,0,0,0,0.212765957446809,1.48936170212766,0,0,0,0.212765957446809,1.91489361702128,0,4.3,0.212765957446809,0,0,0,0,0.6,0,0.212765957446809,2.8,0.212765957446809,0,0.212765957446809,0,0.851063829787234,0.212765957446809,0,0,0,0,40.6,0,0.212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0.638297872340425,0,0,0,0,0,0,34,0,25.3,1.91489361702128,0,0,0.425531914893617,0.212765957446809,0,0,0.6,0.851063829787234,0,0,1.2,0,7.2,0,0,0
"sample_id 14",0,0.2,0,0.175438596491228,3.7,0.350877192982456,0,0,0,0.526315789473684,0,0,0,0,0,0.175438596491228,0,0.350877192982456,0,0.175438596491228,0,0,0,0,3.7,0,0,0,0,0,0.4,0,0,1.1,0,0,0,0,0,0.8,0,0,0,0,19.6,0,0.87719298245614,0,0,0,0,0.175438596491228,0,0,0,0,0,0,0,0,0.7,0,0.526315789473684,0.175438596491228,0,0,1.1,0,4.7,0,0,0,0,0,0,0,0,0,0,0.175438596491228,0,0.7,2,0,0,0.350877192982456
"sample_id 15",0.4,0,0.194931773879142,0.194931773879142,0.779727095516569,2.4,0,0.584795321637427,0,1.2,0,0,0,0,0,0.194931773879142,0,0,0,0,0,0.194931773879142,0.194931773879142,0,3.1,0,0,0,0.194931773879142,0,1.16959064327485,0,0,2.7,0,0,0,0,0,0.2,0,0,0,0,6.6,0,0.584795321637427,0,0,0,0,0.2,0,0,0,0,0,0,0,0.194931773879142,0,0,0.194931773879142,0,0,0,1.4,0,4.9,0.194931773879142,0,0.194931773879142,0,0,0,0.194931773879142,0,0,0.194931773879142,0,0,0.8,0.4,0,0,0
"sample_id 16",0,1.5,0,0,0.32626427406199,0.32626427406199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978792822185971,0,0,0,0,0,0,0.163132137030995,1.5,0,0,0,0.2,0,0,0,0,0,0.5,0,1.46818923327896,0,10.6,0,0,0,0,0,0,0,0,0.163132137030995,0,0,0,0,0,0,0,0,0,0,3.6,0,0,1.30505709624796,0,0,0.163132137030995,0,0,0.163132137030995,1.5,0,0,0,0,0.163132137030995,1.5,0,0,0.489396411092985
"sample_id 17",0.2,0,0.43859649122807,0,0.2,0,0,0,0,1.1,0,0.219298245614035,0.219298245614035,0,0,0,0,0,0,0,0,0,0.43859649122807,0.219298245614035,2.4,0,0,0,0,0,0.219298245614035,0,1.3,0,0.219298245614035,0,0,0,0.219298245614035,0,0,0,0,0,1.09649122807018,0,5.9,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.43859649122807,0,0,2.6,1.09649122807018,10.7,0.2,0,0,0,0,0,0.6,0.219298245614035,0,0,0,0,0,0.2,0,0,0
"sample_id 18",0.6,0.274725274725275,0,0,5.4,0.549450549450549,0,0,0,0,0,0,0,0,0,0,0.274725274725275,0.274725274725275,0,0,0,0,0.549450549450549,0,2.5,0.274725274725275,0,0,0,0,0.549450549450549,0,0,1.3,0,0,0.824175824175824,0,0,0,0,0,0,0,0,0,4.67032967032967,0,0,0.274725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0.274725274725275,0,0,0,4.7,0,16.5,0,0.274725274725275,0,0,0,0,0.549450549450549,0.3,0,0,0.274725274725275,0,0.549450549450549,0.824175824175824,0,0,0.274725274725275
"sample_id 19",0.192307692307692,0.6,0,0,34.2,0,0,0,2,0,0,0,0,0,0,0.192307692307692,0,0.576923076923077,0,0,0,0,0.384615384615385,0,4.6,0.8,0.4,0,0,0,2.3,0,0,2.1,0,0,0.576923076923077,0,0,0,0,0,0,0,0,0,0.384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,3.9,0,0,0,10.2,0,11.3,0.192307692307692,0.192307692307692,0,0.192307692307692,0,0,0.2,2.9,0,0,0,0,1,2.1,0.192307692307692,0,0.4
"sample_id 20",0.153846153846154,0,0.153846153846154,0,10.8,0.153846153846154,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.461538461538462,0,0,0,0,0,1.4,0.2,0,1.7,0,0,0,0,0,0,0,0,1.3,0,16.3,0,2.46153846153846,0,0,0,0,0.153846153846154,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0.2,1.3,0,0,0.153846153846154,0,0.153846153846154,0,0.923076923076923,0,0,0,0,0,1.7,0,0,0.153846153846154
"sample_id 21",0,1.1,0.350877192982456,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,1.05263157894737,0,0,0,0,0,0.350877192982456,4.6,0,0,0,0,0,0.8,0,1.40350877192982,0,0,0,0,0,0,0,0,0,0.4,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350877192982456,0,0,0,0,0,9.5,0,2.45614035087719,1.40350877192982,0.350877192982456,0,0,0.350877192982456,0,0,0.4,0.8,0,0,0,0,3.6,0.350877192982456,0,0
"sample_id 22",0,0.8,0,0,3.9,1.7,0,0,0,2.63157894736842,0.43859649122807,0.43859649122807,0,0,0,0,0.43859649122807,0.87719298245614,0,0,0,0.43859649122807,0.43859649122807,0,3.9,0.43859649122807,0,0,0,0,0.87719298245614,0,0,1.3,0,0,0,0,0,0,0,0,0,0,52.2,0,3.50877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,13.6,1.31578947368421,0,0.43859649122807,0.43859649122807,0,0,0.43859649122807,0,0,0,0,0.43859649122807,0,2.6,0,0,0
"sample_id 23",0,0.6,0,0,0,0.219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.2,0,0,0,0,0,0,0,0.6,0.2,0,0,0,0,0,0,0.87719298245614,0,1.1,0,5.26315789473684,0,23.2,0,0,0.219298245614035,0,0,0,0,0,0.219298245614035,0,0,0,0,0.219298245614035,0,0,0,0,0,11.8,0,0,1.97368421052632,0,0,0,0,0,0,0,0,0,0.2,0,0,0.87719298245614,0,0,0
"sample_id 24",0.769230769230769,2.5,0,0,3.1,0.2,0,0,0,0,0,0,0,0,0,1.6,0,0.192307692307692,0,0,0,0,0.384615384615385,0.192307692307692,3.1,0,0,0,0,0,1.53846153846154,0.192307692307692,4.3,0,0,0.192307692307692,0,0,0,0.192307692307692,0.192307692307692,0,7.1,0,0,0,14.4,0,0,0.2,0.192307692307692,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,65.6,0,0.8,1.15384615384615,0,0,2.7,0,0,0.192307692307692,6.6,0,0,0,0.192307692307692,0,4.6,0.8,0,0
"sample_id 25",1.9,1.3,0,0,0.641025641025641,0.2,0,0,0,0,0,0.213675213675214,0,0,0,0.213675213675214,0,0,0,0,0.213675213675214,0.4,0.641025641025641,0,6.2,0,0,0,0,0.2,3.6,0,0.8,0,0.213675213675214,0.213675213675214,1.3,0,0,0,0,0,2.4,0.213675213675214,0,0,12.4,0,0,0,0,0,0,0,0,1.3,0.213675213675214,0,0,0.213675213675214,0,0,0,0,0,0,22.9,0,4.7,0.213675213675214,0,0,0.427350427350427,0,0,0.4,3.2051282051282,0,0,0,0.427350427350427,0,0.6,0,0,0.213675213675214
"sample_id 26",0.2,0.6,0.191204588910134,0,0.191204588910134,0.191204588910134,0,0,0,0.191204588910134,0,0,0,0,0,0,0,0.382409177820268,0,0,0,0.764818355640535,0.956022944550669,0.8,0.4,0,0,0,0.191204588910134,0,0,0,7.7,0.191204588910134,0,0,0.191204588910134,0,0,0,1.2,0,2.1,0,0.382409177820268,0,14.9,0.4,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.573613766730402,0,0,14.3,0,1.1,3.5,0,0,1.7208413001912,0,0,0.764818355640535,1.2,0,0,0,0.6,0,1.9,0.191204588910134,0,0
"sample_id 27",0,1.6,0,0,0,0,0,0.191570881226054,0,0,0,0.191570881226054,0,0,0,0,0,0,0,0,0,0.191570881226054,0,0,0,0,0,0,0,0.191570881226054,0,0,1.91570881226054,0,0,0,0,0,0,0,1.8,0,3.1,0,0,0,6.9,0,0,0,0,0,0,0,0,0.191570881226054,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0.383141762452107,0,0,0.2,0,0,0,0.191570881226054,0,0,0,0,0,1,0,0,0.191570881226054
