"taxa" "day" "hour" "count"
"143" "aca" 7 12 0
"144" "dipt" 7 12 0
"145" "dipt" 7 12 0
"146" "dipt" 7 12 0
"147" "dipt" 7 12 0
"148" "dipt" 7 12 1
"149" "dipt" 7 12 0
"150" "dipt" 7 12 2
"151" "dipt" 7 12 1
"152" "dipt" 7 12 0
"153" "dipt" 7 12 0
"154" "dipt" 7 12 0
"155" "dipt" 7 12 2
"156" "dipt" 7 12 0
"157" "spiders" 7 16 0
"158" "spiders" 7 16 3
"159" "spiders" 7 16 0
"160" "spiders" 7 16 0
"161" "spiders" 7 16 2
"162" "spiders" 7 16 0
"163" "spiders" 7 16 2
"164" "spiders" 7 16 0
"165" "spiders" 7 16 1
"166" "spiders" 7 16 2
"167" "spiders" 7 16 0
"168" "spiders" 7 16 1
"169" "spiders" 7 16 0
"170" "coll" 7 16 10
"171" "coll" 7 16 13
"172" "coll" 7 16 18
"173" "coll" 7 16 14
"174" "coll" 7 16 7
"175" "coll" 7 16 10
"176" "coll" 7 16 13
"177" "coll" 7 16 28
"178" "coll" 7 16 23
"179" "coll" 7 16 16
"180" "coll" 7 16 14
"181" "coll" 7 16 25
"182" "coll" 7 16 31
"183" "aca" 7 16 0
"184" "aca" 7 16 5
"185" "aca" 7 16 0
"186" "aca" 7 16 1
"187" "aca" 7 16 1
"188" "aca" 7 16 2
"189" "aca" 7 16 0
"190" "aca" 7 16 2
"191" "aca" 7 16 1
"192" "aca" 7 16 3
"193" "aca" 7 16 0
"194" "aca" 7 16 0
"195" "aca" 7 16 2
"196" "dipt" 7 16 4
"197" "dipt" 7 16 1
"198" "dipt" 7 16 1
"199" "dipt" 7 16 0
"200" "dipt" 7 16 0
"201" "dipt" 7 16 0
"202" "dipt" 7 16 0
"203" "dipt" 7 16 0
"204" "dipt" 7 16 0
"205" "dipt" 7 16 1
"206" "dipt" 7 16 0
"207" "dipt" 7 16 0
"208" "dipt" 7 16 1
"209" "spiders" 7 20 0
"210" "spiders" 7 20 1
"211" "spiders" 7 20 1
"212" "spiders" 7 20 2
"213" "spiders" 7 20 1
"214" "spiders" 7 20 1
"215" "spiders" 7 20 0
"216" "spiders" 7 20 1
"217" "spiders" 7 20 2
"218" "spiders" 7 20 2
"219" "spiders" 7 20 1
"220" "spiders" 7 20 1
"221" "spiders" 7 20 1
"222" "coll" 7 20 12
"223" "coll" 7 20 1
"224" "coll" 7 20 8
"225" "coll" 7 20 2
"226" "coll" 7 20 3
"227" "coll" 7 20 3
"228" "coll" 7 20 6
"229" "coll" 7 20 17
"230" "coll" 7 20 18
"231" "coll" 7 20 9
"232" "coll" 7 20 7
"233" "coll" 7 20 24
"234" "coll" 7 20 14
"235" "aca" 7 20 0
"236" "aca" 7 20 0
"237" "aca" 7 20 0
"238" "aca" 7 20 1
"239" "aca" 7 20 3
"240" "aca" 7 20 0
"241" "aca" 7 20 1
"242" "aca" 7 20 6
"243" "aca" 7 20 0
"244" "aca" 7 20 2
"245" "aca" 7 20 2
"246" "aca" 7 20 0
"247" "aca" 7 20 2
"248" "dipt" 7 20 2
"249" "dipt" 7 20 1
"250" "dipt" 7 20 1
"251" "dipt" 7 20 1
"252" "dipt" 7 20 0
"253" "dipt" 7 20 0
"254" "dipt" 7 20 0
"255" "dipt" 7 20 0
"256" "dipt" 7 20 1
"257" "dipt" 7 20 1
"258" "dipt" 7 20 0
"259" "dipt" 7 20 2
"260" "dipt" 7 20 2
"261" "spiders" 7 24 0
"262" "spiders" 7 24 1
"263" "spiders" 7 24 0
"264" "spiders" 7 24 0
"265" "spiders" 7 24 1
"266" "spiders" 7 24 0
"267" "spiders" 7 24 1
"268" "spiders" 7 24 1
"269" "spiders" 7 24 1
"270" "spiders" 7 24 1
"271" "spiders" 7 24 0
"272" "spiders" 7 24 0
"273" "spiders" 7 24 0
"274" "coll" 7 24 3
"275" "coll" 7 24 3
"276" "coll" 7 24 3
"277" "coll" 7 24 0
"278" "coll" 7 24 3
"279" "coll" 7 24 2
"280" "coll" 7 24 1
"281" "coll" 7 24 7
"282" "coll" 7 24 2
"283" "coll" 7 24 0
"284" "coll" 7 24 2
"285" "coll" 7 24 0
"286" "coll" 7 24 4
"287" "aca" 7 24 1
"288" "aca" 7 24 0
"289" "aca" 7 24 1
"290" "aca" 7 24 1
"291" "aca" 7 24 0
"292" "aca" 7 24 0
"293" "aca" 7 24 0
"294" "aca" 7 24 3
"295" "aca" 7 24 0
"296" "aca" 7 24 0
"297" "aca" 7 24 1
"298" "aca" 7 24 0
"299" "aca" 7 24 1
"300" "dipt" 7 24 3
"301" "dipt" 7 24 0
"302" "dipt" 7 24 0
"303" "dipt" 7 24 0
"304" "dipt" 7 24 4
"305" "dipt" 7 24 0
"306" "dipt" 7 24 0
"307" "dipt" 7 24 0
"308" "dipt" 7 24 1
"309" "dipt" 7 24 0
"310" "dipt" 7 24 1
"311" "dipt" 7 24 0
"312" "dipt" 7 24 1
"313" "spiders" 8 4 0
"314" "spiders" 8 4 0
"315" "spiders" 8 4 1
"316" "spiders" 8 4 0
"317" "spiders" 8 4 0
"318" "spiders" 8 4 0
"319" "spiders" 8 4 0
"320" "spiders" 8 4 0
"321" "spiders" 8 4 0
"322" "spiders" 8 4 1
"323" "spiders" 8 4 1
"324" "spiders" 8 4 1
"325" "spiders" 8 4 2
"326" "coll" 8 4 3
"327" "coll" 8 4 0
"328" "coll" 8 4 4
"329" "coll" 8 4 0
"330" "coll" 8 4 1
"331" "coll" 8 4 0
"332" "coll" 8 4 0
"333" "coll" 8 4 0
"334" "coll" 8 4 2
"335" "coll" 8 4 0
"336" "coll" 8 4 0
"337" "coll" 8 4 7
"338" "coll" 8 4 3
"339" "aca" 8 4 0
"340" "aca" 8 4 0
"341" "aca" 8 4 3
"342" "aca" 8 4 2
"343" "aca" 8 4 1
"344" "aca" 8 4 0
"345" "aca" 8 4 0
"346" "aca" 8 4 2
"347" "aca" 8 4 0
"348" "aca" 8 4 1
"349" "aca" 8 4 0
"350" "aca" 8 4 0
"351" "aca" 8 4 0
"352" "dipt" 8 4 1
"353" "dipt" 8 4 0
"354" "dipt" 8 4 0
"355" "dipt" 8 4 0
"356" "dipt" 8 4 0
"357" "dipt" 8 4 0
"358" "dipt" 8 4 0
"359" "dipt" 8 4 0
"360" "dipt" 8 4 0
"361" "dipt" 8 4 0
"362" "dipt" 8 4 0
"363" "dipt" 8 4 0
"364" "dipt" 8 4 0
"365" "spiders" 8 8 1
"366" "spiders" 8 8 0
"367" "spiders" 8 8 0
"368" "spiders" 8 8 1
"369" "spiders" 8 8 0
"370" "spiders" 8 8 1
"371" "spiders" 8 8 0
"372" "spiders" 8 8 0
"373" "spiders" 8 8 0
"374" "spiders" 8 8 3
"375" "spiders" 8 8 0
"376" "spiders" 8 8 1
"377" "spiders" 8 8 1
"378" "coll" 8 8 6
"379" "coll" 8 8 7
"380" "coll" 8 8 9
"381" "coll" 8 8 6
"382" "coll" 8 8 1
"383" "coll" 8 8 0
"384" "coll" 8 8 8
"385" "coll" 8 8 3
"386" "coll" 8 8 7
"387" "coll" 8 8 6
"388" "coll" 8 8 3
"389" "coll" 8 8 15
"390" "coll" 8 8 9
"391" "aca" 8 8 0
"392" "aca" 8 8 1
"393" "aca" 8 8 1
"394" "aca" 8 8 0
"395" "aca" 8 8 0
"396" "aca" 8 8 1
"397" "aca" 8 8 0
"398" "aca" 8 8 1
"399" "aca" 8 8 0
"400" "aca" 8 8 2
"401" "aca" 8 8 0
"402" "aca" 8 8 1
"403" "aca" 8 8 1
"404" "dipt" 8 8 0
"405" "dipt" 8 8 0
"406" "dipt" 8 8 0
"407" "dipt" 8 8 0
"408" "dipt" 8 8 0
"409" "dipt" 8 8 0
"410" "dipt" 8 8 0
"411" "dipt" 8 8 0
"412" "dipt" 8 8 0
"413" "dipt" 8 8 1
"414" "dipt" 8 8 0
"415" "dipt" 8 8 0
"416" "dipt" 8 8 0
"417" "spiders" 8 12 1
"418" "spiders" 8 12 2
"419" "spiders" 8 12 0
"420" "spiders" 8 12 0
"421" "spiders" 8 12 1
"422" "spiders" 8 12 0
"423" "spiders" 8 12 1
"424" "spiders" 8 12 0
"425" "spiders" 8 12 4
"426" "spiders" 8 12 2
"427" "spiders" 8 12 2
"428" "spiders" 8 12 1
"429" "spiders" 8 12 1
"430" "coll" 8 12 16
"431" "coll" 8 12 9
"432" "coll" 8 12 11
"433" "coll" 8 12 16
"434" "coll" 8 12 8
"435" "coll" 8 12 6
"436" "coll" 8 12 5
"437" "coll" 8 12 9
"438" "coll" 8 12 25
"439" "coll" 8 12 10
"440" "coll" 8 12 8
"441" "coll" 8 12 46
"442" "coll" 8 12 19
"443" "aca" 8 12 0
"444" "aca" 8 12 2
"445" "aca" 8 12 0
"446" "aca" 8 12 1
"447" "aca" 8 12 0
"448" "aca" 8 12 0
"449" "aca" 8 12 0
"450" "aca" 8 12 1
"451" "aca" 8 12 1
"452" "aca" 8 12 0
"453" "aca" 8 12 1
"454" "aca" 8 12 0
"455" "aca" 8 12 0
"456" "dipt" 8 12 0
"457" "dipt" 8 12 1
"458" "dipt" 8 12 0
"459" "dipt" 8 12 1
"460" "dipt" 8 12 0
"461" "dipt" 8 12 0
"462" "dipt" 8 12 1
"463" "dipt" 8 12 0
"464" "dipt" 8 12 1
"465" "dipt" 8 12 0
"466" "dipt" 8 12 0
"467" "dipt" 8 12 0
"468" "dipt" 8 12 2
"469" "spiders" 8 16 0
"470" "spiders" 8 16 1
"471" "spiders" 8 16 0
"472" "spiders" 8 16 0
"473" "spiders" 8 16 1
"474" "spiders" 8 16 0
"475" "spiders" 8 16 1
"476" "spiders" 8 16 2
"477" "spiders" 8 16 0
"478" "spiders" 8 16 3
"479" "spiders" 8 16 0
"480" "spiders" 8 16 1
"481" "spiders" 8 16 NA
"482" "coll" 8 16 20
"483" "coll" 8 16 13
"484" "coll" 8 16 13
"485" "coll" 8 16 5
"486" "coll" 8 16 8
"487" "coll" 8 16 2
"488" "coll" 8 16 12
"489" "coll" 8 16 12
"490" "coll" 8 16 26
"491" "coll" 8 16 1
"492" "coll" 8 16 13
"493" "coll" 8 16 22
"494" "coll" 8 16 NA
"495" "aca" 8 16 1
"496" "aca" 8 16 0
"497" "aca" 8 16 2
"498" "aca" 8 16 1
"499" "aca" 8 16 0
"500" "aca" 8 16 1
"501" "aca" 8 16 1
"502" "aca" 8 16 0
"503" "aca" 8 16 1
"504" "aca" 8 16 2
"505" "aca" 8 16 1
"506" "aca" 8 16 0
"507" "aca" 8 16 NA
"508" "dipt" 8 16 1
"509" "dipt" 8 16 1
"510" "dipt" 8 16 0
"511" "dipt" 8 16 0
"512" "dipt" 8 16 1
"513" "dipt" 8 16 2
"514" "dipt" 8 16 1
"515" "dipt" 8 16 0
"516" "dipt" 8 16 0
"517" "dipt" 8 16 0
"518" "dipt" 8 16 2
"519" "dipt" 8 16 0
"520" "dipt" 8 16 NA
"521" "spiders" 8 20 1
"522" "spiders" 8 20 0
"523" "spiders" 8 20 0
"524" "spiders" 8 20 1
"525" "spiders" 8 20 0
"526" "spiders" 8 20 0
"527" "spiders" 8 20 2
"528" "spiders" 8 20 0
"529" "spiders" 8 20 1
"530" "spiders" 8 20 3
"531" "spiders" 8 20 1
"532" "spiders" 8 20 0
"533" "spiders" 8 20 0
"534" "coll" 8 20 8
"535" "coll" 8 20 5
"536" "coll" 8 20 5
"537" "coll" 8 20 4
"538" "coll" 8 20 0
"539" "coll" 8 20 1
"540" "coll" 8 20 1
"541" "coll" 8 20 6
"542" "coll" 8 20 13
"543" "coll" 8 20 7
"544" "coll" 8 20 9
"545" "coll" 8 20 17
"546" "coll" 8 20 13
"547" "aca" 8 20 0
"548" "aca" 8 20 0
"549" "aca" 8 20 0
"550" "aca" 8 20 1
"551" "aca" 8 20 0
"552" "aca" 8 20 0
"553" "aca" 8 20 4
"554" "aca" 8 20 5
"555" "aca" 8 20 1
"556" "aca" 8 20 3
"557" "aca" 8 20 0
"558" "aca" 8 20 0
"559" "aca" 8 20 0
"560" "dipt" 8 20 0
"561" "dipt" 8 20 1
"562" "dipt" 8 20 0
"563" "dipt" 8 20 0
"564" "dipt" 8 20 0
"565" "dipt" 8 20 0
"566" "dipt" 8 20 0
"567" "dipt" 8 20 2
"568" "dipt" 8 20 0
"569" "dipt" 8 20 0
"570" "dipt" 8 20 1
"571" "dipt" 8 20 1
"572" "dipt" 8 20 0
"573" "spiders" 8 24 1
"574" "spiders" 8 24 0
"575" "spiders" 8 24 1
"576" "spiders" 8 24 1
"577" "spiders" 8 24 0
"578" "spiders" 8 24 0
"579" "spiders" 8 24 0
"580" "spiders" 8 24 0
"581" "spiders" 8 24 0
"582" "spiders" 8 24 2
"583" "spiders" 8 24 0
"584" "spiders" 8 24 0
"585" "spiders" 8 24 0
"586" "coll" 8 24 4
"587" "coll" 8 24 3
"588" "coll" 8 24 3
"589" "coll" 8 24 2
"590" "coll" 8 24 1
"591" "coll" 8 24 1
"592" "coll" 8 24 3
"593" "coll" 8 24 2
"594" "coll" 8 24 3
"595" "coll" 8 24 6
"596" "coll" 8 24 7
"597" "coll" 8 24 12
"598" "coll" 8 24 3
"599" "aca" 8 24 0
"600" "aca" 8 24 0
"601" "aca" 8 24 0
"602" "aca" 8 24 2
"603" "aca" 8 24 1
"604" "aca" 8 24 0
"605" "aca" 8 24 1
"606" "aca" 8 24 6
"607" "aca" 8 24 1
"608" "aca" 8 24 3
"609" "aca" 8 24 0
"610" "aca" 8 24 0
"611" "aca" 8 24 2
"612" "dipt" 8 24 0
"613" "dipt" 8 24 0
"614" "dipt" 8 24 1
"615" "dipt" 8 24 1
"616" "dipt" 8 24 0
"617" "dipt" 8 24 0
"618" "dipt" 8 24 0
"619" "dipt" 8 24 0
"620" "dipt" 8 24 0
"621" "dipt" 8 24 0
"622" "dipt" 8 24 0
"623" "dipt" 8 24 0
"624" "dipt" 8 24 0
"625" "spiders" 16 4 0
"626" "spiders" 16 4 0
"627" "spiders" 16 4 0
"628" "spiders" 16 4 1
"629" "spiders" 16 4 0
"630" "spiders" 16 4 0
"631" "spiders" 16 4 1
"632" "spiders" 16 4 1
"633" "spiders" 16 4 0
"634" "spiders" 16 4 0
"635" "spiders" 16 4 1
"636" "spiders" 16 4 0
"637" "spiders" 16 4 1
"638" "coll" 16 4 24
"639" "coll" 16 4 50
"640" "coll" 16 4 4
"641" "coll" 16 4 12
"642" "coll" 16 4 23
"643" "coll" 16 4 7
"644" "coll" 16 4 33
"645" "coll" 16 4 10
"646" "coll" 16 4 18
"647" "coll" 16 4 14
"648" "coll" 16 4 56
"649" "coll" 16 4 100
"650" "coll" 16 4 158
"651" "aca" 16 4 0
"652" "aca" 16 4 0
"653" "aca" 16 4 0
"654" "aca" 16 4 1
"655" "aca" 16 4 5
"656" "aca" 16 4 0
"657" "aca" 16 4 0
"658" "aca" 16 4 2
"659" "aca" 16 4 7
"660" "aca" 16 4 1
"661" "aca" 16 4 2
"662" "aca" 16 4 1
"663" "aca" 16 4 0
"664" "dipt" 16 4 1
"665" "dipt" 16 4 1
"666" "dipt" 16 4 0
"667" "dipt" 16 4 0
"668" "dipt" 16 4 1
"669" "dipt" 16 4 0
"670" "dipt" 16 4 0
"671" "dipt" 16 4 0
"672" "dipt" 16 4 0
"673" "dipt" 16 4 0
"674" "dipt" 16 4 0
"675" "dipt" 16 4 0
"676" "dipt" 16 4 0
"677" "spiders" 16 8 0
"678" "spiders" 16 8 3
"679" "spiders" 16 8 0
"680" "spiders" 16 8 0
"681" "spiders" 16 8 0
"682" "spiders" 16 8 0
"683" "spiders" 16 8 0
"684" "spiders" 16 8 0
"685" "spiders" 16 8 4
"686" "spiders" 16 8 0
"687" "spiders" 16 8 2
"688" "spiders" 16 8 0
"689" "spiders" 16 8 0
"690" "coll" 16 8 23
"691" "coll" 16 8 17
"692" "coll" 16 8 47
"693" "coll" 16 8 36
"694" "coll" 16 8 12
"695" "coll" 16 8 10
"696" "coll" 16 8 52
"697" "coll" 16 8 19
"698" "coll" 16 8 33
"699" "coll" 16 8 43
"700" "coll" 16 8 26
"701" "coll" 16 8 47
"702" "coll" 16 8 72
"703" "aca" 16 8 0
"704" "aca" 16 8 1
"705" "aca" 16 8 1
"706" "aca" 16 8 1
"707" "aca" 16 8 0
"708" "aca" 16 8 0
"709" "aca" 16 8 2
"710" "aca" 16 8 1
"711" "aca" 16 8 3
"712" "aca" 16 8 0
"713" "aca" 16 8 0
"714" "aca" 16 8 0
"715" "aca" 16 8 4
"716" "dipt" 16 8 3
"717" "dipt" 16 8 1
"718" "dipt" 16 8 0
"719" "dipt" 16 8 1
"720" "dipt" 16 8 2
"721" "dipt" 16 8 1
"722" "dipt" 16 8 0
"723" "dipt" 16 8 0
"724" "dipt" 16 8 0
"725" "dipt" 16 8 0
"726" "dipt" 16 8 0
"727" "dipt" 16 8 2
"728" "dipt" 16 8 0
"729" "spiders" 16 12 2
"730" "spiders" 16 12 0
"731" "spiders" 16 12 0
"732" "spiders" 16 12 1
"733" "spiders" 16 12 0
"734" "spiders" 16 12 0
"735" "spiders" 16 12 1
"736" "spiders" 16 12 0
"737" "spiders" 16 12 1
"738" "spiders" 16 12 2
"739" "spiders" 16 12 2
"740" "spiders" 16 12 0
"741" "spiders" 16 12 0
"742" "coll" 16 12 48
"743" "coll" 16 12 27
"744" "coll" 16 12 53
"745" "coll" 16 12 19
"746" "coll" 16 12 22
"747" "coll" 16 12 24
"748" "coll" 16 12 71
"749" "coll" 16 12 23
"750" "coll" 16 12 30
"751" "coll" 16 12 41
"752" "coll" 16 12 30
"753" "coll" 16 12 59
"754" "coll" 16 12 263
"755" "aca" 16 12 0
"756" "aca" 16 12 0
"757" "aca" 16 12 0
"758" "aca" 16 12 1
"759" "aca" 16 12 0
"760" "aca" 16 12 0
"761" "aca" 16 12 0
"762" "aca" 16 12 1
"763" "aca" 16 12 0
"764" "aca" 16 12 1
"765" "aca" 16 12 1
"766" "aca" 16 12 1
"767" "aca" 16 12 2
"768" "dipt" 16 12 0
"769" "dipt" 16 12 2
"770" "dipt" 16 12 0
"771" "dipt" 16 12 0
"772" "dipt" 16 12 0
"773" "dipt" 16 12 0
"774" "dipt" 16 12 0
"775" "dipt" 16 12 0
"776" "dipt" 16 12 0
"777" "dipt" 16 12 0
"778" "dipt" 16 12 0
"779" "dipt" 16 12 3
"780" "dipt" 16 12 0
"781" "spiders" 16 16 0
"782" "spiders" 16 16 0
"783" "spiders" 16 16 0
"784" "spiders" 16 16 0
"785" "spiders" 16 16 0
"786" "spiders" 16 16 0
"787" "spiders" 16 16 0
"788" "spiders" 16 16 0
"789" "spiders" 16 16 1
"790" "spiders" 16 16 0
"791" "spiders" 16 16 0
"792" "spiders" 16 16 0
"793" "spiders" 16 16 0
"794" "coll" 16 16 50
"795" "coll" 16 16 33
"796" "coll" 16 16 66
"797" "coll" 16 16 6
"798" "coll" 16 16 2
"799" "coll" 16 16 22
"800" "coll" 16 16 63
"801" "coll" 16 16 38
"802" "coll" 16 16 32
"803" "coll" 16 16 43
"804" "coll" 16 16 59
"805" "coll" 16 16 53
"806" "coll" 16 16 90
"807" "aca" 16 16 0
"808" "aca" 16 16 1
"809" "aca" 16 16 1
"810" "aca" 16 16 1
"811" "aca" 16 16 0
"812" "aca" 16 16 1
"813" "aca" 16 16 2
"814" "aca" 16 16 0
"815" "aca" 16 16 3
"816" "aca" 16 16 1
"817" "aca" 16 16 1
"818" "aca" 16 16 0
"819" "aca" 16 16 0
"820" "dipt" 16 16 0
"821" "dipt" 16 16 1
"822" "dipt" 16 16 0
"823" "dipt" 16 16 0
"824" "dipt" 16 16 1
"825" "dipt" 16 16 0
"826" "dipt" 16 16 0
"827" "dipt" 16 16 0
"828" "dipt" 16 16 0
"829" "dipt" 16 16 0
"830" "dipt" 16 16 0
"831" "dipt" 16 16 0
"832" "dipt" 16 16 3
"833" "spiders" 16 20 0
"834" "spiders" 16 20 0
"835" "spiders" 16 20 0
"836" "spiders" 16 20 1
"837" "spiders" 16 20 0
"838" "spiders" 16 20 0
"839" "spiders" 16 20 0
"840" "spiders" 16 20 0
"841" "spiders" 16 20 0
"842" "spiders" 16 20 1
"843" "spiders" 16 20 0
"844" "spiders" 16 20 0
"845" "spiders" 16 20 0
"846" "coll" 16 20 21
"847" "coll" 16 20 12
"848" "coll" 16 20 54
"849" "coll" 16 20 34
"850" "coll" 16 20 3
"851" "coll" 16 20 11
"852" "coll" 16 20 19
"853" "coll" 16 20 13
"854" "coll" 16 20 18
"855" "coll" 16 20 51
"856" "coll" 16 20 37
"857" "coll" 16 20 30
"858" "coll" 16 20 87
"859" "aca" 16 20 0
"860" "aca" 16 20 0
"861" "aca" 16 20 0
"862" "aca" 16 20 1
"863" "aca" 16 20 1
"864" "aca" 16 20 1
"865" "aca" 16 20 0
"866" "aca" 16 20 1
"867" "aca" 16 20 1
"868" "aca" 16 20 0
"869" "aca" 16 20 0
"870" "aca" 16 20 0
"871" "aca" 16 20 2
"872" "dipt" 16 20 0
"873" "dipt" 16 20 0
"874" "dipt" 16 20 0
"875" "dipt" 16 20 0
"876" "dipt" 16 20 0
"877" "dipt" 16 20 0
"878" "dipt" 16 20 0
"879" "dipt" 16 20 0
"880" "dipt" 16 20 0
"881" "dipt" 16 20 0
"882" "dipt" 16 20 0
"883" "dipt" 16 20 0
"884" "dipt" 16 20 0
"885" "spiders" 16 24 0
"886" "spiders" 16 24 0
"887" "spiders" 16 24 0
"888" "spiders" 16 24 1
"889" "spiders" 16 24 2
"890" "spiders" 16 24 0
"891" "spiders" 16 24 0
"892" "spiders" 16 24 1
"893" "spiders" 16 24 0
"894" "spiders" 16 24 1
"895" "spiders" 16 24 1
"896" "spiders" 16 24 0
"897" "spiders" 16 24 0
"898" "coll" 16 24 6
"899" "coll" 16 24 5
"900" "coll" 16 24 22
"901" "coll" 16 24 21
"902" "coll" 16 24 2
"903" "coll" 16 24 4
"904" "coll" 16 24 9
"905" "coll" 16 24 12
"906" "coll" 16 24 5
"907" "coll" 16 24 7
"908" "coll" 16 24 7
"909" "coll" 16 24 10
"910" "coll" 16 24 10
"911" "aca" 16 24 0
"912" "aca" 16 24 0
"913" "aca" 16 24 0
"914" "aca" 16 24 2
"915" "aca" 16 24 0
"916" "aca" 16 24 0
"917" "aca" 16 24 0
"918" "aca" 16 24 1
"919" "aca" 16 24 0
"920" "aca" 16 24 0
"921" "aca" 16 24 0
"922" "aca" 16 24 1
"923" "aca" 16 24 0
"924" "dipt" 16 24 1
"925" "dipt" 16 24 0
"926" "dipt" 16 24 0
"927" "dipt" 16 24 0
"928" "dipt" 16 24 1
"929" "dipt" 16 24 0
"930" "dipt" 16 24 0
"931" "dipt" 16 24 0
"932" "dipt" 16 24 0
"933" "dipt" 16 24 0
"934" "dipt" 16 24 1
"935" "dipt" 16 24 0
"936" "dipt" 16 24 0
"937" "spiders" 17 4 0
"938" "spiders" 17 4 0
"939" "spiders" 17 4 0
"940" "spiders" 17 4 0
"941" "spiders" 17 4 1
"942" "spiders" 17 4 0
"943" "spiders" 17 4 0
"944" "spiders" 17 4 0
"945" "spiders" 17 4 0
"946" "spiders" 17 4 0
"947" "spiders" 17 4 0
"948" "spiders" 17 4 0
"949" "spiders" 17 4 0
"950" "coll" 17 4 11
"951" "coll" 17 4 8
"952" "coll" 17 4 9
"953" "coll" 17 4 11
"954" "coll" 17 4 5
"955" "coll" 17 4 9
"956" "coll" 17 4 2
"957" "coll" 17 4 6
"958" "coll" 17 4 10
"959" "coll" 17 4 7
"960" "coll" 17 4 13
"961" "coll" 17 4 4
"962" "coll" 17 4 11
"963" "aca" 17 4 1
